Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\App_Start\IdentityConfig.cs,20,12,P:Microsoft.AspNet.Identity.PasswordValidator.RequireNonLetterOrDigit,,,,,"manager.PasswordValidator = new PasswordValidator              {                  RequiredLength = 6,                  RequireNonLetterOrDigit = false,                  RequireDigit = false,                  RequireLowercase = false,                  RequireUppercase = false              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\App_Start\IdentityConfig.cs,20,12,P:Microsoft.AspNet.Identity.PasswordValidator.RequiredLength,,,,,"manager.PasswordValidator = new PasswordValidator              {                  RequiredLength = 6,                  RequireNonLetterOrDigit = false,                  RequireDigit = false,                  RequireLowercase = false,                  RequireUppercase = false              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\App_Start\IdentityConfig.cs,20,12,T:Microsoft.AspNet.Identity.PasswordValidator,,,,,"manager.PasswordValidator = new PasswordValidator              {                  RequiredLength = 6,                  RequireNonLetterOrDigit = false,                  RequireDigit = false,                  RequireLowercase = false,                  RequireUppercase = false              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\App_Start\IdentityConfig.cs,20,12,M:Microsoft.AspNet.Identity.PasswordValidator.#ctor,,,,,"manager.PasswordValidator = new PasswordValidator              {                  RequiredLength = 6,                  RequireNonLetterOrDigit = false,                  RequireDigit = false,                  RequireLowercase = false,                  RequireUppercase = false              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,143,12,T:System.Web.UI.WebControls.Literal,,,,,litSuccessMsg.Text   = msg;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,143,12,P:System.Web.UI.WebControls.Literal.Text,,,,,litSuccessMsg.Text   = msg;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,142,12,T:System.Web.UI.WebControls.Panel,,,,,pnlSuccess.Visible   = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,142,12,P:System.Web.UI.Control.Visible,,,,,pnlSuccess.Visible   = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,109,8,T:System.Web.UI.WebControls.GridViewCommandEventArgs,,,,,"protected void gvProducts_RowCommand(object sender, GridViewCommandEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,136,16,T:System.Web.UI.WebControls.Panel,,,,,pnlForm.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,136,16,P:System.Web.UI.Control.Visible,,,,,pnlForm.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,134,20,T:System.Web.UI.WebControls.DropDownList,,,,,ddlType.SelectedValue  = item.CatalogTypeId.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,134,20,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,ddlType.SelectedValue  = item.CatalogTypeId.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,133,20,T:System.Web.UI.WebControls.DropDownList,,,,,ddlBrand.SelectedValue = item.CatalogBrandId.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,133,20,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,ddlBrand.SelectedValue = item.CatalogBrandId.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,132,20,T:System.Web.UI.WebControls.TextBox,,,,,txtStock.Text     = item.AvailableStock.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,132,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,txtStock.Text     = item.AvailableStock.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,131,20,T:System.Web.UI.WebControls.TextBox,,,,,txtDescription.Text = item.Description;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,131,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,txtDescription.Text = item.Description;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,130,20,T:System.Web.UI.WebControls.TextBox,,,,,"txtPrice.Text     = item.Price.ToString(""0.00"");"
